customer_id,first_name,last_name,email,city,state
1,Debra,Burks,debra.burks@yahoo.com,Orchard Park,NY
2,Kasha,Todd,kasha.todd@yahoo.com,Campbell,CA
3,Tameka,Fisher,tameka.fisher@aol.com,Redondo Beach,CA
4,Daryl,Spence,daryl.spence@aol.com,Uniondale,NY
5,Charolette,Rice,charolette.rice@msn.com,Sacramento,CA
6,Lyndsey,Bean,lyndsey.bean@hotmail.com,Fairport,NY
7,Latasha,Hays,latasha.hays@hotmail.com,Buffalo,NY
8,Jacquline,Duncan,jacquline.duncan@yahoo.com,Jackson Heights,NY
9,Genoveva,Baldwin,genoveva.baldwin@msn.com,Port Washington,NY
10,Pamelia,Newman,pamelia.newman@gmail.com,Monroe,NY
11,Deshawn,Mendoza,deshawn.mendoza@yahoo.com,Monsey,NY
12,Robby,Sykes,robby.sykes@hotmail.com,Hempstead,NY
13,Lashawn,Ortiz,lashawn.ortiz@msn.com,Longview,TX
14,Garry,Espinoza,garry.espinoza@hotmail.com,Forney,TX
15,Linnie,Branch,linnie.branch@gmail.com,Plattsburgh,NY
16,Emmitt,Sanchez,emmitt.sanchez@hotmail.com,New York,NY
17,Caren,Stephens,caren.stephens@msn.com,Scarsdale,NY
18,Georgetta,Hardin,georgetta.hardin@aol.com,Canandaigua,NY
19,Lizzette,Stein,lizzette.stein@yahoo.com,Orchard Park,NY
20,Aleta,Shepard,aleta.shepard@aol.com,Sugar Land,TX
21,Tobie,Little,tobie.little@gmail.com,Victoria,TX
22,Adelle,Larsen,adelle.larsen@gmail.com,East Northport,NY
23,Kaylee,English,kaylee.english@msn.com,Hollis,NY
24,Corene,Wall,corene.wall@msn.com,Atwater,CA
25,Regenia,Vaughan,regenia.vaughan@gmail.com,Mahopac,NY
26,Theo,Reese,theo.reese@gmail.com,Long Beach,NY
27,Santos,Valencia,santos.valencia@yahoo.com,Sunnyside,NY
28,Jeanice,Frost,jeanice.frost@hotmail.com,Ossining,NY
29,Syreeta,Hendricks,syreeta.hendricks@msn.com,Mahopac,NY
30,Jamaal,Albert,jamaal.albert@gmail.com,Torrance,CA
31,Williemae,Holloway,williemae.holloway@msn.com,Oakland,CA
32,Araceli,Golden,araceli.golden@msn.com,Fullerton,CA
33,Deloris,Burke,deloris.burke@hotmail.com,Palos Verdes Peninsula,CA
34,Brittney,Woodward,brittney.woodward@aol.com,East Northport,NY
35,Guillermina,Noble,guillermina.noble@msn.com,Baldwinsville,NY
36,Bernita,Mcdaniel,bernita.mcdaniel@hotmail.com,Liverpool,NY
37,Melia,Brady,melia.brady@gmail.com,Maspeth,NY
38,Zelma,Browning,zelma.browning@aol.com,Astoria,NY
39,Janetta,Aguirre,janetta.aguirre@aol.com,Lancaster,NY
40,Ronna,Butler,ronna.butler@gmail.com,Encino,CA
41,Kathie,Freeman,kathie.freeman@msn.com,Queensbury,NY
42,Tangela,Quinn,tangela.quinn@aol.com,Richmond Hill,NY
43,Mozelle,Carter,mozelle.carter@aol.com,Houston,TX
44,Onita,Johns,onita.johns@msn.com,Elmont,NY
45,Bennett,Armstrong,bennett.armstrong@aol.com,Bethpage,NY
46,Monika,Berg,monika.berg@gmail.com,Encino,CA
47,Bridgette,Guerra,bridgette.guerra@hotmail.com,San Lorenzo,CA
48,Cesar,Jackson,cesar.jackson@gmail.com,Liverpool,NY
49,Caroll,Hays,caroll.hays@yahoo.com,Fairport,NY
50,Cleotilde,Booth,cleotilde.booth@gmail.com,Sugar Land,TX
51,Gertrud,Rhodes,gertrud.rhodes@aol.com,Merrick,NY
52,Tu,Ramirez,tu.ramirez@hotmail.com,East Elmhurst,NY
53,Saturnina,Garner,saturnina.garner@gmail.com,Glendora,CA
54,Fran,Yang,fran.yang@hotmail.com,Utica,NY
55,Diana,Guerra,diana.guerra@hotmail.com,Merrick,NY
56,Lolita,Mosley,lolita.mosley@hotmail.com,Houston,TX
57,Pamala,Henry,pamala.henry@aol.com,Bronx,NY
58,Damien,Dorsey,damien.dorsey@yahoo.com,Central Islip,NY
59,Latasha,Stanley,latasha.stanley@gmail.com,Rockville Centre,NY
60,Neil,Mccall,neil.mccall@gmail.com,San Carlos,CA
61,Elinore,Aguilar,elinore.aguilar@msn.com,San Angelo,TX
62,Alica,Hunter,alica.hunter@hotmail.com,East Elmhurst,NY
63,Tenisha,Lyons,tenisha.lyons@aol.com,Amityville,NY
64,Bobbie,Foster,bobbie.foster@yahoo.com,Desoto,TX
65,Kanesha,Vega,kanesha.vega@gmail.com,Rome,NY
66,Lorrie,Becker,lorrie.becker@yahoo.com,Garland,TX
67,Tommie,Melton,tommie.melton@gmail.com,Sacramento,CA
68,Jayne,Kirkland,jayne.kirkland@hotmail.com,Rowlett,TX
69,Katelin,Kennedy,katelin.kennedy@gmail.com,Rocklin,CA
70,Tomasa,Carson,tomasa.carson@aol.com,East Elmhurst,NY
71,Takako,Casey,takako.casey@aol.com,Bronx,NY
72,Petronila,Norris,petronila.norris@aol.com,South El Monte,CA
73,Melanie,Hayes,melanie.hayes@msn.com,Liverpool,NY
74,Georgeann,Waller,georgeann.waller@yahoo.com,North Tonawanda,NY
75,Abby,Gamble,abby.gamble@aol.com,Amityville,NY
76,Parker,Prince,parker.prince@hotmail.com,Port Jefferson Station,NY
77,Keri,Bridges,keri.bridges@gmail.com,Richardson,TX
78,Chi,Goff,chi.goff@aol.com,Palos Verdes Peninsula,CA
79,Ashanti,Parks,ashanti.parks@hotmail.com,Baldwin,NY
80,Sarai,Mckee,sarai.mckee@msn.com,Buffalo,NY
81,Zina,Bonner,zina.bonner@hotmail.com,San Lorenzo,CA
82,Lizzie,Joyner,lizzie.joyner@msn.com,Coachella,CA
83,Tiesha,Daniel,tiesha.daniel@yahoo.com,Scarsdale,NY
